id,Study_Hours,Sleep_Hours,Attendance_Percentage,Previous_Score,Internet_Usage,Social_Activity_Level,Performance_Score,Pass_Fail
1,7.17,6.89,78.18,93.24,6.36,1,77.83,1
2,4.17,7.37,56.92,50.56,0.42,2,59.84,1
3,3.01,9.94,85.97,86.19,3.61,5,59.89,1
4,2.94,7.51,65.32,56.46,0.36,3,52.89,1
5,2.92,3.29,88.58,94.24,5.94,1,49.53,1
6,4.62,9.46,59.21,68.49,1.08,2,61.17,1
7,15.44,7.41,86.73,78.54,0.11,3,80.15,1
8,4.25,9.73,86.93,58.45,0.26,3,59.23,1
9,3.76,7.37,79.17,86.16,1.99,1,70.37,1
10,3.54,10.38,72.57,54.54,3.32,3,55.72,1
11,1.04,9.82,79.24,48.24,0.42,2,35.52,0
12,3.97,7.92,67.07,62.05,0.4,2,58.83,1
13,1.27,9.05,73.75,68.39,1.23,2,46.6,1
14,10.88,6.39,98.01,90.64,3.37,3,94.2,1
15,2.25,8.64,75.06,82.38,1.81,4,50.09,1
16,2.16,8.9,89.79,74.46,1.77,4,49.0,1
17,5.9,6.27,73.91,74.63,6.61,1,52.68,1
18,5.55,5.6,71.53,84.98,5.36,5,49.46,1
19,1.63,5.75,91.91,54.48,1.96,3,42.19,1
20,2.64,8.38,69.26,61.63,2.84,3,52.72,1
21,4.44,5.18,52.53,66.02,0.74,2,40.87,1
22,3.19,6.87,87.79,54.33,0.25,2,53.5,1
23,2.79,7.11,70.53,60.93,3.86,4,68.83,1
24,3.99,7.1,90.29,78.93,0.56,5,73.48,1
25,6.96,3.96,75.73,71.91,0.2,1,40.11,1
26,2.31,9.37,50.56,58.11,6.16,1,54.6,1
27,2.83,6.77,68.93,51.87,1.31,4,41.51,1
28,1.68,6.69,42.78,81.91,5.89,3,24.44,0
29,4.37,6.43,60.33,71.74,2.04,1,46.11,1
30,3.87,7.97,86.24,26.52,7.17,5,34.02,0
31,2.86,3.25,79.53,68.64,0.86,1,22.49,0
32,7.22,7.29,44.35,84.05,0.88,1,54.84,1
33,1.17,11.01,93.11,64.46,0.51,1,24.43,0
34,2.38,6.03,78.13,63.57,0.17,3,50.11,1
35,5.74,5.76,67.05,67.85,0.46,1,77.97,1
36,1.55,8.19,38.52,31.56,0.38,1,19.06,0
37,1.43,9.92,52.93,81.47,4.42,2,27.93,0
38,7.36,4.43,97.41,85.96,3.21,2,65.06,1
39,2.77,8.03,66.99,64.26,0.16,2,60.45,1
40,2.62,6.17,96.26,52.88,8.55,3,59.0,1
41,1.89,7.89,88.46,48.37,1.87,2,41.71,1
42,3.51,8.82,71.46,50.56,0.82,1,57.82,1
43,3.09,5.28,67.44,46.87,1.06,2,40.96,1
44,1.14,5.89,87.83,49.89,4.26,1,28.09,0
45,4.02,7.45,62.61,51.37,0.47,1,82.76,1
46,3.04,5.35,71.41,60.5,1.17,2,44.8,1
47,2.2,7.11,99.71,53.69,0.25,1,31.43,0
48,3.84,4.98,72.64,94.95,3.97,2,42.14,1
49,3.45,6.44,88.7,57.8,0.45,5,40.88,1
50,1.06,8.48,80.99,43.69,1.26,4,40.35,1
51,13.11,6.32,56.07,72.68,3.78,1,72.14,1
52,4.34,8.12,98.47,62.16,0.12,4,62.9,1
53,2.86,7.4,67.01,79.23,1.78,4,65.5,1
54,3.89,7.13,73.32,38.13,2.34,5,36.72,0
55,6.22,6.81,73.03,58.96,0.08,4,56.11,1
56,2.48,5.97,90.35,61.78,0.69,5,54.56,1
57,1.8,5.8,80.96,54.57,0.92,1,20.41,0
58,4.14,10.21,90.21,67.44,1.03,1,44.88,1
59,2.15,9.2,96.77,53.87,2.14,5,34.8,0
60,3.18,5.08,78.63,30.36,1.56,3,41.85,1
61,7.04,6.91,68.84,88.76,1.23,5,68.02,1
62,4.14,4.8,89.43,71.81,1.79,4,40.89,1
63,8.55,5.52,70.32,85.8,6.96,5,67.66,1
64,2.0,6.68,55.34,35.08,0.04,4,25.81,0
65,3.34,7.71,89.79,50.33,12.0,2,43.69,1
66,3.33,6.01,70.64,58.85,3.83,1,52.83,1
67,3.06,6.69,94.23,57.15,1.25,3,49.6,1
68,5.77,8.27,86.9,83.79,7.3,5,76.27,1
69,7.59,7.37,64.13,77.55,3.26,1,60.42,1
70,7.56,6.81,62.06,77.71,2.33,3,62.04,1
71,2.58,7.66,66.68,87.98,1.22,4,52.75,1
72,5.87,8.72,42.63,74.6,1.99,3,52.77,1
73,3.39,6.8,81.98,50.17,2.61,5,68.66,1
74,6.76,8.42,61.1,67.91,0.94,4,62.22,1
75,3.45,10.85,74.78,81.54,9.6,4,54.12,1
76,0.97,5.37,75.88,68.3,3.3,3,38.78,0
77,7.61,8.83,60.62,61.77,3.78,2,49.52,1
78,7.68,5.17,52.12,78.79,1.04,5,61.84,1
79,5.17,7.34,30.0,56.27,2.9,3,43.76,1
80,5.25,6.32,84.73,90.02,1.39,3,70.57,1
81,2.32,8.02,78.66,65.53,2.03,5,57.52,1
82,2.36,6.04,98.48,56.69,2.6,4,51.01,1
83,4.88,7.09,93.57,59.83,0.33,2,54.03,1
84,1.88,8.38,81.96,45.69,1.44,2,43.86,1
85,2.2,7.24,96.08,66.26,0.29,4,65.77,1
86,1.42,9.47,96.25,58.09,1.83,5,36.01,0
87,7.68,5.71,70.13,54.1,0.95,1,62.2,1
88,3.82,8.39,58.19,66.44,1.8,3,78.32,1
89,1.63,4.97,37.24,51.43,0.01,1,3.61,0
90,3.15,7.09,60.47,49.58,4.13,1,29.49,0
91,2.19,6.66,81.04,73.87,1.75,4,59.94,1
92,2.37,8.21,87.79,46.87,7.85,3,50.16,1
93,0.5,6.39,70.24,42.67,0.4,2,25.18,0
94,1.68,5.76,83.67,45.84,4.54,2,31.67,0
95,7.86,9.05,79.79,46.89,1.11,2,70.71,1
96,1.14,8.02,95.59,24.12,7.19,3,31.83,0
97,3.54,5.56,77.38,52.24,2.18,3,57.87,1
98,3.67,9.05,70.0,42.22,4.68,5,54.14,1
99,1.64,5.74,88.13,66.17,1.1,2,34.87,0
100,1.89,7.87,76.54,41.28,2.67,2,43.58,1
101,4.29,9.51,93.48,64.48,0.55,2,55.86,1
102,3.63,7.32,55.18,68.38,7.37,1,47.14,1
103,1.99,8.54,90.88,50.15,7.87,3,40.08,1
104,5.87,7.28,68.66,95.81,2.69,2,68.89,1
105,4.77,6.87,83.83,70.46,2.0,5,61.92,1
106,1.01,7.27,89.82,67.85,1.5,4,37.04,0
107,3.16,4.54,82.04,57.63,1.24,3,24.64,0
108,3.3,5.76,67.86,71.66,2.3,5,42.65,1
109,7.31,8.02,64.19,60.99,3.4,3,52.53,1
110,3.04,7.15,83.32,52.64,1.06,4,49.58,1
111,2.42,5.54,91.08,49.67,1.17,5,51.95,1
112,16.0,9.05,65.47,100.0,6.5,1,91.26,1
113,4.67,8.56,96.69,56.75,6.52,2,48.92,1
114,15.16,7.33,70.08,100.0,1.45,2,100.0,1
115,2.33,6.56,73.36,67.23,8.54,5,45.94,1
116,1.25,5.42,82.75,68.23,8.37,2,43.43,1
117,4.53,5.31,65.68,36.37,0.87,5,47.09,1
118,2.55,7.06,58.16,58.84,0.85,3,52.55,1
119,3.83,7.16,54.35,53.64,1.57,4,66.77,1
120,6.32,7.2,96.59,72.76,4.88,5,51.43,1
121,2.83,8.95,92.54,79.4,2.75,2,54.25,1
122,2.47,6.27,71.08,63.14,1.57,1,48.09,1
123,5.21,7.85,74.27,43.93,1.86,5,75.06,1
124,2.91,8.38,89.82,36.73,0.82,5,39.97,0
125,3.67,5.35,80.79,76.91,2.49,3,55.31,1
126,2.34,8.76,54.2,75.18,1.14,1,51.93,1
127,0.96,6.79,94.75,41.65,0.96,3,67.34,1
128,3.97,3.98,44.35,38.84,0.72,5,11.27,0
129,6.18,7.83,78.02,75.6,2.78,2,68.99,1
130,5.71,8.44,30.0,80.83,6.79,4,51.52,1
131,3.11,6.77,67.96,87.94,2.9,5,62.49,1
132,4.74,7.65,65.25,55.9,0.54,5,54.95,1
133,8.53,4.23,84.03,70.68,2.03,4,65.18,1
134,6.26,6.31,66.58,63.06,7.23,5,57.06,1
135,2.79,7.92,79.68,55.7,1.59,3,64.61,1
136,1.86,5.21,97.5,55.63,2.59,3,44.86,1
137,5.01,3.96,65.66,72.04,5.85,2,38.61,0
138,2.98,6.78,78.55,76.25,1.08,4,66.69,1
139,3.79,4.58,98.25,73.72,1.14,4,42.15,1
140,4.2,8.05,68.25,42.33,3.05,5,44.3,1
141,2.56,8.76,97.26,54.19,0.82,5,44.28,1
