id,Study_Hours,Sleep_Hours,Attendance_Percentage,Previous_Score,Internet_Usage,Social_Activity_Level,Performance_Score,Pass_Fail
11251,6.15,6.36,77.79,63.83,6.11,2,56.11,1
25086,3.13,7.27,74.99,82.74,0.99,3,55.42,1
26347,2.48,7.02,84.02,71.88,0.5,2,37.22,0
20833,2.97,8.46,79.42,35.96,2.66,1,49.64,1
33856,4.28,8.15,69.82,69.43,2.44,4,66.99,1
2669,2.73,3.42,76.74,58.39,2.79,5,23.2,0
19032,1.86,5.86,43.69,45.34,0.06,3,21.43,0
54432,5.88,7.77,66.1,84.2,1.76,2,57.09,1
23999,3.47,5.55,47.41,58.95,2.41,5,25.67,0
8195,2.59,5.0,90.12,65.31,4.03,4,57.91,1
25841,2.14,6.89,92.62,54.58,1.31,4,56.75,1
45523,5.58,7.44,78.37,46.61,0.2,1,75.35,1
16299,4.52,6.01,78.01,75.58,1.11,4,60.97,1
48029,5.77,6.38,88.57,81.92,1.91,5,73.46,1
19332,2.39,6.99,82.38,100.0,1.48,2,58.52,1
49241,6.15,7.88,67.11,66.57,0.12,3,72.66,1
3565,9.2,7.87,67.97,88.3,2.7,5,69.94,1
24461,7.89,6.96,84.8,100.0,0.17,5,82.54,1
32103,3.46,4.92,83.07,42.05,2.81,4,43.5,1
17367,5.63,8.3,71.14,66.59,0.59,2,52.37,1
33008,4.83,6.87,81.61,54.14,0.57,4,67.42,1
25942,4.45,9.64,89.87,65.72,0.45,4,44.42,1
49094,2.37,6.37,70.71,54.93,0.02,2,50.95,1
39858,4.53,8.51,81.9,51.24,2.17,1,41.38,1
27842,8.7,6.46,71.09,63.99,0.0,2,69.5,1
29458,4.08,9.49,64.11,61.67,0.33,5,63.5,1
19635,1.91,7.47,66.08,55.84,1.5,3,40.23,1
7423,0.93,9.15,95.27,32.11,0.16,2,40.9,1
32514,2.5,6.33,70.91,82.41,2.48,4,53.0,1
29222,3.85,7.03,81.81,48.39,1.12,5,40.91,1
645,3.42,7.93,75.41,63.5,2.91,5,67.69,1
40607,3.33,5.08,54.99,60.36,0.39,4,39.73,0
20706,2.15,6.65,92.09,65.79,5.35,2,68.81,1
11077,4.54,6.34,81.06,45.73,0.16,3,58.85,1
17504,2.75,7.41,90.78,61.76,6.3,3,50.25,1
53750,2.05,5.21,80.41,74.75,1.72,5,56.02,1
24956,10.1,5.39,75.56,77.56,0.35,2,66.93,1
20934,5.03,5.95,83.02,79.0,0.42,5,59.92,1
38769,8.5,6.63,55.37,75.88,3.22,1,78.69,1
24749,2.9,6.68,79.37,58.08,1.59,4,56.1,1
40341,2.24,8.15,69.65,57.58,4.08,2,60.64,1
25911,1.92,6.89,86.68,52.06,1.67,3,33.27,0
31622,1.79,9.28,87.26,54.67,5.41,1,40.5,1
46592,3.68,6.09,68.25,78.76,0.1,4,64.6,1
8724,3.15,7.01,95.99,54.55,3.7,4,51.61,1
24725,8.17,6.65,78.93,75.74,10.87,5,73.29,1
31475,10.03,8.27,96.38,86.35,0.1,1,80.69,1
37440,4.91,5.48,82.28,70.94,0.39,4,55.21,1
1584,3.68,4.99,89.73,55.95,1.3,2,45.42,1
52171,4.5,6.69,82.94,61.6,1.62,2,56.68,1
7415,3.18,5.07,86.13,18.94,0.15,5,32.89,0
41232,3.19,6.05,76.7,90.51,2.13,3,65.5,1
9267,1.51,7.05,80.13,51.7,0.43,2,24.55,0
47547,4.17,8.13,72.78,86.82,3.22,2,51.59,1
1040,5.7,5.91,30.0,85.79,1.6,1,57.71,1
15484,3.29,8.48,93.58,68.93,7.25,2,67.62,1
25479,7.79,5.5,98.89,75.27,2.53,5,68.87,1
37112,5.13,8.74,73.58,83.58,4.81,4,57.5,1
13525,16.0,6.24,85.31,100.0,1.17,1,100.0,1
2332,5.1,10.74,81.79,50.97,2.39,4,59.82,1
24713,2.4,4.87,49.3,41.58,3.18,1,4.05,0
2523,1.81,6.65,88.36,52.03,3.82,2,39.28,0
7707,2.4,5.58,55.35,66.86,0.58,4,44.25,1
27877,6.7,6.9,81.23,43.7,2.17,1,67.82,1
48600,3.35,5.39,74.2,39.72,0.32,3,35.8,0
33105,0.95,9.8,68.6,71.33,0.9,3,27.48,0
24876,9.32,6.82,98.43,81.94,0.89,4,85.78,1
35009,2.41,7.61,82.56,38.17,0.76,4,40.36,1
30547,1.16,8.88,75.08,45.75,1.56,3,33.8,0
15727,2.42,10.52,58.85,55.34,0.07,2,33.25,0
5836,2.74,4.92,85.16,55.33,1.67,5,40.45,1
3919,2.84,7.69,91.73,57.49,3.65,4,41.5,1
30229,2.17,7.91,77.94,51.77,1.01,2,62.88,1
